Algoritmo,Variável Independente,Coeficiente de Correlação,P-Valor,Inclinação (Slope),Intercepto
Dijkstra,Número de Vértices,0.9459712152883267,9.684735302305356e-12,2.488386867086302e-06,-0.03682655342095355
Dijkstra,Número de Arestas,0.9467368048588852,8.365359981341275e-12,1.2634723829773374e-06,-0.03666920410471646
Dijkstra,Densidade do Grafo,-0.7024264852458715,0.00018633606314589143,-2869.4149801865838,0.3047202404517197
Astar,Número de Vértices,0.9389424630384587,3.3901148006295605e-11,6.872121673873477e-07,0.001996078335754251
Astar,Número de Arestas,0.9392817022187165,3.202311589623551e-11,3.487741073198663e-07,0.00206755861930574
Astar,Densidade do Grafo,-0.755927971872772,3.021367940192853e-05,-859.1812283670886,0.09898808495437046
Bellman ford,Número de Vértices,0.9654178527753197,9.745442307039987e-14,0.00016505398972985137,-5.106485062069617
Bellman ford,Número de Arestas,0.9661208922206264,7.879260193247466e-14,8.379897150886217e-05,-5.094829762444257
Bellman ford,Densidade do Grafo,-0.6590194752718612,0.0006264013101775997,-174969.13864015572,16.93430927056544
Bidirectional dijkstra,Número de Vértices,0.9510654651609363,3.5018352528899756e-12,2.5333363880244913e-06,-0.05086327241418331
Bidirectional dijkstra,Número de Arestas,0.9521761186639148,2.7652849494370678e-12,1.2867561354854364e-06,-0.050785747326413715
Bidirectional dijkstra,Densidade do Grafo,-0.6780568782676865,0.00037713513889142984,-2804.7947051751416,0.2921982580338711
Bidirectional a star,Número de Vértices,0.7659130182499617,2.0447359978948708e-05,4.066406075470651e-08,0.001370193982453975
Bidirectional a star,Número de Arestas,0.7656715421477681,2.0645921252443614e-05,2.0623877184457796e-08,0.0013769280084844054
Bidirectional a star,Densidade do Grafo,-0.6743624401646429,0.00041733006390383843,-55.600304689704664,0.007299737298833386
