Endereço de Origem,Latitude,Longitude,Raio de Busca (m),Tipo de Estabelecimento,Número de Vértices,Número de Arestas,Densidade do Grafo,Tempo Médio Dijkstra (s),Tempo Médio Astar (s),Tempo Médio Bellman ford (s),Tempo Médio Bidirectional dijkstra (s),Tempo Médio Bidirectional a star (s)
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,3500,japanese,7453,15039,0.0002707790073834678,0.017000675201416016,0.014003276824951172,0.0375063419342041,0.015001058578491211,0.003999233245849609
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,4000,comida_caseira,10557,21267,0.00019083864661076055,0.017999887466430664,0.012999296188354492,0.03599977493286133,0.0200042724609375,0.0045049190521240234
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,4500,fish,14902,30001,0.00013510634870501413,0.01800060272216797,0.008000373840332031,0.0525059700012207,0.01600050926208496,0.0019989013671875
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,5000,comida_caseira,18636,37374,0.00010761863576750021,0.05327427387237549,0.028287053108215332,0.21996688842773438,0.06546735763549805,0.006754875183105469
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,6000,pizza,22533,45177,8.898127589092776e-05,0.03626298904418945,0.011501312255859375,0.2911801338195801,0.030997633934020996,0.0035332441329956055
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,5500,comida_caseira,20674,41482,9.705807435086499e-05,0.0626685619354248,0.02725505828857422,0.2836393117904663,0.11856091022491455,0.007502555847167969
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,6500,pizza,26089,52258,7.678114176875423e-05,0.020494699478149414,0.006510019302368164,0.20780301094055176,0.020871877670288086,0.0020159482955932617
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,7000,pizza,27816,55600,7.186228951910221e-05,0.03027045726776123,0.013497471809387207,0.4249919652938843,0.030756115913391113,0.005499601364135742
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,7500,pizza,34110,68228,5.864242678843952e-05,0.019397497177124023,0.007045865058898926,0.24400746822357178,0.02050769329071045,0.002492666244506836
"Estrada Philúvio Cerqueira Rodrigues, Parque do Imbuí, Teresópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25966-001, Brasil",-22.4093746,-43.0140401,8000,pizza,36087,72197,5.5440817730690586e-05,0.018758296966552734,0.007000088691711426,0.29993724822998047,0.019614458084106445,0.0020002126693725586
