Endereço de Origem,Latitude,Longitude,Raio de Busca (m),Tipo de Estabelecimento,Número de Vértices,Número de Arestas,Densidade do Grafo,Tempo Médio Dijkstra (s),Tempo Médio Astar (s),Tempo Médio Bellman ford (s),Tempo Médio Bidirectional dijkstra (s),Tempo Médio Bidirectional a star (s)
"Avenida Brasil, Bangu, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21866-300, Brasil",-22.8588636,-43.4653048,2000,Ragazzo,5907,12309,0.00035282744373206303,0.001999378204345703,0.0,0.049025535583496094,0.0020020008087158203,0.0
"Avenida Brasil, Bangu, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21866-300, Brasil",-22.8588636,-43.4653048,2500,steak,8023,16664,0.0002589165473621354,0.0044138431549072266,0.004004240036010742,0.05575418472290039,0.09203076362609863,0.0
"Avenida Brasil, Bangu, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21866-300, Brasil",-22.8588636,-43.4653048,3000,steak,10490,22038,0.00020029153970463042,0.005461215972900391,0.005001544952392578,0.09442877769470215,0.0049817562103271484,0.0009999275207519531
"Avenida Brasil, Bangu, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21866-300, Brasil",-22.8588636,-43.4653048,3500,steak,12996,27471,0.00016266288937751114,0.0060002803802490234,0.0035080909729003906,0.11350631713867188,0.006000041961669922,0.0
"Avenida Brasil, Bangu, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21866-300, Brasil",-22.8588636,-43.4653048,4000,steak,16070,33961,0.00013151513717503968,0.006002902984619141,0.005000114440917969,0.18787002563476562,0.0060040950775146484,0.0010001659393310547
"Avenida Brasil, Bangu, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21866-300, Brasil",-22.8588636,-43.4653048,4500,steak,19031,40111,0.00011075493636195479,0.006999492645263672,0.004001617431640625,0.23009824752807617,0.00599980354309082,0.0009999275207519531
"Avenida Brasil, Bangu, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21866-300, Brasil",-22.8588636,-43.4653048,5000,steak,21175,44355,9.892732270949123e-05,0.00599980354309082,0.004000186920166016,0.28550028800964355,0.0064656734466552734,0.0
"Avenida Brasil, Bangu, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21866-300, Brasil",-22.8588636,-43.4653048,5500,steak,22940,47810,9.085542175406036e-05,0.007001399993896484,0.0039806365966796875,0.30742859840393066,0.006980419158935547,0.0
"Avenida Brasil, Bangu, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21866-300, Brasil",-22.8588636,-43.4653048,6000,steak,27924,57967,7.43431774437431e-05,0.004642009735107422,0.004941701889038086,0.3438713550567627,0.006998300552368164,0.0010004043579101562
"Avenida Brasil, Bangu, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21866-300, Brasil",-22.8588636,-43.4653048,6500,steak,31371,65072,6.612280577623842e-05,0.006999969482421875,0.004999876022338867,0.6122703552246094,0.00699925422668457,0.0
