Algoritmo,Variável Independente,Coeficiente de Correlação,P-Valor,Inclinação (Slope),Intercepto
Dijkstra,Número de Vértices,0.7951907594129455,1.9306916907933116e-08,6.455114706173136e-06,-0.24066604367770475
Dijkstra,Número de Arestas,0.7939538732257324,2.1056188250410885e-08,3.250923017336204e-06,-0.24223186944845418
Dijkstra,Densidade do Grafo,-0.37101455273405676,0.030756028343569542,-2502.173157320211,0.35536949163348125
Astar,Número de Vértices,0.7874654939430145,3.2877230092159154e-08,1.6438542623266586e-06,-0.05714702324802245
Astar,Número de Arestas,0.7861583602758082,3.589841450612335e-08,8.2779079198455e-07,-0.05753332134094048
Astar,Densidade do Grafo,-0.353422275152816,0.040324648500517556,-612.94213192939,0.09337657802167688
Bellman ford,Número de Vértices,0.9353266197182784,5.406009655035508e-16,2.2065815935903403e-05,-0.49969317728164603
Bellman ford,Número de Arestas,0.9345952908332862,6.437290807475819e-16,1.1121389706969547e-05,-0.5062835874516872
Bellman ford,Densidade do Grafo,-0.5521135805688333,0.000710997586853875,-10821.286687091373,1.6557769469966774
Bidirectional dijkstra,Número de Vértices,0.7981491905342435,1.5652223723031792e-08,6.2184640410332996e-06,-0.22831439826517028
Bidirectional dijkstra,Número de Arestas,0.7969012434559686,1.7108082305438506e-08,3.1317156935228744e-06,-0.22981916982823872
Bidirectional dijkstra,Densidade do Grafo,-0.37158768626562844,0.030478688684448585,-2405.2163105556288,0.34559803494450037
Bidirectional a star,Número de Vértices,0.7469827832355013,3.891020761226397e-07,2.249338112981282e-07,-0.005624774491943419
Bidirectional a star,Número de Arestas,0.7457562636426721,4.163243231219888e-07,1.1327128672204825e-07,-0.005677925859672487
Bidirectional a star,Densidade do Grafo,-0.3378035610777752,0.050712158793627685,-84.5088418734019,0.015005048145113841
