Algoritmo,Variável Independente,Coeficiente de Correlação,P-Valor,Inclinação (Slope),Intercepto
Dijkstra,Número de Vértices,0.9248745986530094,7.560090348527108e-10,9.511742328601702e-07,-0.0029915993917582024
Dijkstra,Número de Arestas,0.9209153304957226,1.2425412858612116e-09,5.973365201678581e-07,-0.002738616539981504
Dijkstra,Densidade do Grafo,-0.359229224666424,0.10060606371891329,-6.017858502350416,0.02011681803995078
Astar,Número de Vértices,0.9533262610093121,7.299121142550657e-12,2.9181416352026604e-07,-0.00045228791886539274
Astar,Número de Arestas,0.9512145008902966,1.1262192358241931e-11,1.836392086839272e-07,-0.00038744678033309204
Astar,Densidade do Grafo,-0.383540521587949,0.0780593928605936,-1.9123577978641533,0.0066678584717167365
Bellman ford,Número de Vértices,0.9592480532230725,1.926404985004334e-12,1.7190504074775698e-05,-0.1124797180567362
Bellman ford,Número de Arestas,0.954917193299859,5.1944146320122525e-12,1.0793083524938286e-05,-0.10782235368858784
Bellman ford,Densidade do Grafo,-0.30971496352037176,0.16071657917124307,-90.40926936514153,0.29665508977930677
Bidirectional dijkstra,Número de Vértices,0.9470713703996587,2.5009159684444745e-11,9.066715900283277e-07,-0.004235250090156217
Bidirectional dijkstra,Número de Arestas,0.9437559269546099,4.5282520237396227e-11,5.69835014061042e-07,-0.004009090578354007
Bidirectional dijkstra,Densidade do Grafo,-0.3391293318271761,0.1225940098288357,-5.28841757258084,0.01758449006859823
Bidirectional a star,Número de Vértices,0.8915512733634562,2.578171733190322e-08,3.54966685558285e-08,1.1823843464906916e-06
Bidirectional a star,Número de Arestas,0.887187939264599,3.7539725053480203e-08,2.2278145701999383e-08,1.1084607910261729e-05
Bidirectional a star,Densidade do Grafo,-0.3905911372022481,0.07229320905717676,-0.25331257023391945,0.000876872557269533
