Endereço de Origem,Latitude,Longitude,Raio de Busca (m),Tipo de Estabelecimento,Número de Vértices,Número de Arestas,Densidade do Grafo,Tempo Médio Dijkstra (s),Tempo Médio Astar (s),Tempo Médio Bellman ford (s),Tempo Médio Bidirectional dijkstra (s),Tempo Médio Bidirectional a star (s)
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,2500,Comida Caseira,13185,26577,0.00015288984061764805,0.010505914688110352,0.005013227462768555,0.13751673698425293,0.010011911392211914,0.0009999275207519531
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,3000,Comida Caseira,17073,33872,0.00011621082873032506,0.012187957763671875,0.005005836486816406,0.2351994514465332,0.012001276016235352,0.00099945068359375
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,3500,pizza,21047,41364,9.338191209520209e-05,0.02247277895609538,0.018168846766153973,0.3206835587819417,0.022304852803548176,0.0019998550415039062
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,4000,pizza,25073,49228,7.830994377082607e-05,0.02719712257385254,0.020175457000732422,0.5210803349812826,0.026999632517496746,0.0023399988810221353
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,4500,pizza,29879,58660,6.570894243885665e-05,0.06095795631408692,0.022574520111083983,0.7230381488800048,0.050919723510742185,0.0031998157501220703
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,5000,pizza,35385,69857,5.579352550707439e-05,0.0744490282876151,0.03851713453020368,1.612468685422625,0.07366105488368443,0.004072768347603934
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,5500,pizza,43006,84438,4.565516697477875e-05,0.08039486408233643,0.04070913791656494,2.1088677644729614,0.046648651361465454,0.0026248693466186523
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,6000,pizza,50558,99144,3.878780965119184e-05,0.08996376124295322,0.041105487129905006,2.0658030293204566,0.06732741269198331,0.0025453784249045634
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,6500,pizza,59343,116853,3.3182430216785294e-05,0.1248626708984375,0.04869261809757778,2.378943068640573,0.07273384502955846,0.0024262837001255582
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,7000,pizza,67042,132266,2.9428001828205437e-05,0.08222712789263044,0.02954517092023577,2.921065239679246,0.07916282472156343,0.002700533185686384
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,7500,pizza,75115,147999,2.6230780880504886e-05,0.16698100831773546,0.06830543941921657,5.598055468665229,0.14429662845752858,0.006395030904699255
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,8000,pizza,82735,162678,2.3765969269917146e-05,0.17584423507962907,0.05880345617021833,7.287422980581011,0.16937824657985143,0.007534725325448173
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,8500,pizza,91027,178758,2.1573956486287788e-05,0.1827268123626709,0.05803592205047607,8.201961763699849,0.18236800034840903,0.0056165536244710285
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,9000,pizza,99774,195525,1.964137466304329e-05,0.18527621607626638,0.06400212933940272,9.646493311851255,0.20365164356846963,0.006108314760269657
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,9500,pizza,112564,220026,1.7365161500344308e-05,0.2185433561151678,0.06622721209670558,11.496060631491922,0.1151919292681145,0.0031056693105986624
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,10000,pizza,122730,240456,1.5963851842030866e-05,0.227757023440467,0.0791653725836012,14.099248972203997,0.24334224065144858,0.006663706567552354
"Estrada do Camboatá, Gogó da Ema, Guadalupe, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21660-290, Brasil",-22.8313971,-43.3760539,10500,pizza,132230,259459,1.4839252627317504e-05,0.250072811925134,0.09787382081497548,16.57812847093094,0.2661433829817661,0.0066380389901094655
